timestamps,open,high,low,close,volume,amount
2025-07-25 18:30:00,2348.28,2350.06,2338.06,2342.61,110208134,200248399872.0
2025-07-25 19:30:00,2342.55,2347.41,2333.3,2337.8,37641488,70745372512.0
2025-07-25 22:00:00,2337.77,2341.5,2335.03,2341.5,34078380,64357012528.0
2025-07-25 23:00:00,2341.65,2342.07,2332.02,2340.05,51902366,100522612623.0
2025-07-28 18:30:00,2346.38,2359.57,2334.16,2357.5,103445020,204720065952.0
2025-07-28 19:30:00,2357.56,2363.35,2342.39,2342.39,40779955,82229805456.0
2025-07-28 22:00:00,2341.97,2364.88,2341.67,2358.64,36029533,78308472528.0
2025-07-28 23:00:00,2358.58,2366.51,2356.18,2362.6,44308990,89130992329.0
2025-07-29 18:30:00,2362.77,2382.85,2355.38,2374.45,111236676,233615304112.0
2025-07-29 19:30:00,2374.58,2392.53,2371.66,2384.23,39660262,82812103648.0
2025-07-29 22:00:00,2384.46,2390.46,2381.2,2385.63,38218796,77748135616.0
2025-07-29 23:00:00,2386.13,2406.59,2386.13,2406.59,48447698,101599576514.0
2025-07-30 18:30:00,2395.86,2395.86,2377.8,2383.51,109759436,220600520352.0
2025-07-30 19:30:00,2383.74,2395.89,2383.55,2389.58,40591829,76640852048.0
2025-07-30 22:00:00,2389.9,2391.24,2357.17,2362.73,49526640,97289130080.0
2025-07-30 23:00:00,2361.88,2378.36,2349.18,2367.68,57449011,108788336658.0
2025-07-31 18:30:00,2382.97,2394.22,2362.69,2367.72,108705339,229662586048.0
2025-07-31 19:30:00,2367.57,2377.9,2360.85,2377.84,46141415,92679664288.0
2025-07-31 22:00:00,2378.35,2381.77,2346.49,2354.15,45785227,101025747504.0
2025-07-31 23:00:00,2353.92,2353.92,2321.72,2328.31,58354833,121022899593.0
2025-08-01 18:30:00,2323.92,2348.01,2321.3,2342.54,105756770,214534319824.0
2025-08-01 19:30:00,2342.44,2343.02,2321.43,2324.5,38320965,77061679936.0
2025-08-01 22:00:00,2324.0,2324.18,2304.39,2314.32,37871537,76728699888.0
2025-08-01 23:00:00,2314.14,2327.93,2312.06,2322.63,52140920,99894867201.0
2025-08-04 18:30:00,2307.37,2317.86,2304.48,2310.97,98255715,197225534464.0
2025-08-04 19:30:00,2311.47,2315.43,2307.19,2311.27,32726456,65940310416.0
2025-08-04 22:00:00,2311.7,2320.7,2311.7,2318.55,36045876,74967651808.0
2025-08-04 23:00:00,2318.61,2334.43,2318.51,2334.32,50263871,99566917205.0
2025-08-05 18:30:00,2349.44,2351.0,2329.3,2329.37,111477477,229101444928.0
2025-08-05 19:30:00,2329.46,2332.15,2323.74,2328.36,37393018,79023481856.0
2025-08-05 22:00:00,2328.73,2345.25,2328.73,2340.92,34684859,76866201168.0
2025-08-05 23:00:00,2340.68,2345.13,2339.43,2343.38,47204055,93489979599.0
2025-08-06 18:30:00,2335.95,2352.08,2335.95,2342.11,112903421,230360702880.0
2025-08-06 19:30:00,2342.13,2353.24,2340.13,2352.58,44184785,90135901280.0
2025-08-06 22:00:00,2352.75,2359.82,2346.91,2356.26,49765380,99049078208.0
2025-08-06 23:00:00,2356.25,2359.0,2355.12,2358.95,54673465,105627342625.0
2025-08-07 18:30:00,2359.42,2372.68,2329.73,2330.52,130316029,268577959856.0
2025-08-07 19:30:00,2330.55,2346.77,2322.8,2346.59,46739210,97839719984.0
2025-08-07 22:00:00,2347.63,2351.91,2342.44,2345.77,40771629,86379045424.0
2025-08-07 23:00:00,2345.95,2349.98,2340.01,2342.86,49019829,99354184587.0
2025-08-08 18:30:00,2338.25,2344.08,2330.01,2339.43,118759568,239345957536.0
2025-08-08 19:30:00,2339.33,2350.0,2338.8,2347.83,40720889,79370775776.0
2025-08-08 22:00:00,2347.98,2353.99,2333.68,2334.59,42312056,87354567568.0
2025-08-08 23:00:00,2334.52,2341.27,2333.8,2333.96,49038484,98074910623.0
2025-08-11 18:30:00,2336.93,2377.46,2336.93,2365.2,110861019,241910158608.0
2025-08-11 19:30:00,2364.68,2380.78,2362.71,2380.29,42096773,89490533376.0
2025-08-11 22:00:00,2381.29,2384.86,2375.74,2381.71,44405772,95067925536.0
2025-08-11 23:00:00,2381.85,2384.74,2374.93,2379.82,54986467,109516625177.0
2025-08-12 18:30:00,2381.16,2399.74,2368.81,2393.4,116744375,249607100080.0
2025-08-12 19:30:00,2393.02,2401.51,2383.69,2401.51,46896161,101491542448.0
2025-08-12 22:00:00,2402.37,2402.43,2395.17,2401.46,40431000,92828175200.0
2025-08-12 23:00:00,2401.53,2409.4,2400.17,2409.4,47899985,106211862222.0
2025-08-13 18:30:00,2417.47,2444.79,2414.48,2444.01,119988408,266751842032.0
2025-08-13 19:30:00,2444.15,2477.73,2444.15,2476.99,53635462,126587213728.0
2025-08-13 22:00:00,2478.33,2497.86,2476.27,2485.8,46428830,109426109792.0
2025-08-13 23:00:00,2486.07,2496.5,2475.34,2496.5,59730456,134062376892.0
2025-08-14 18:30:00,2496.63,2507.03,2485.88,2506.89,132487985,290088790448.0
2025-08-14 19:30:00,2507.05,2513.37,2490.1,2490.64,53081427,112057126896.0
2025-08-14 22:00:00,2490.2,2490.41,2463.86,2485.86,60623291,129667390512.0
2025-08-14 23:00:00,2486.2,2495.33,2469.5,2469.66,57172652,119514932298.0
2025-08-15 18:30:00,2464.67,2499.55,2464.67,2487.51,117585420,263512667488.0
2025-08-15 19:30:00,2487.33,2522.62,2485.02,2522.62,50709531,117997998544.0
2025-08-15 22:00:00,2527.1,2541.89,2522.58,2530.97,59218332,141992451376.0
2025-08-15 23:00:00,2530.91,2535.42,2520.64,2534.22,61676434,136666758964.0
2025-08-18 18:30:00,2549.55,2589.42,2529.25,2589.42,165831294,364526609312.0
2025-08-18 19:30:00,2589.63,2626.3,2589.63,2626.29,65545998,154781254944.0
2025-08-18 22:00:00,2628.38,2633.86,2597.26,2600.41,71462803,166208333776.0
2025-08-18 23:00:00,2600.22,2610.63,2590.45,2606.2,70786766,154165264896.0
2025-08-19 18:30:00,2596.58,2634.6,2595.5,2605.21,158728952,367908137136.0
2025-08-19 19:30:00,2605.15,2619.53,2605.15,2616.33,54913730,121848878336.0
2025-08-19 22:00:00,2617.15,2622.06,2590.7,2590.72,61683738,141060859328.0
2025-08-19 23:00:00,2590.91,2604.19,2586.95,2601.74,59102241,132293945926.0
2025-08-20 18:30:00,2572.0,2576.3,2547.44,2576.26,129878731,291367338704.0
2025-08-20 19:30:00,2576.74,2584.22,2548.16,2557.14,58816244,125617845568.0
2025-08-20 22:00:00,2557.63,2579.02,2552.78,2579.02,41366215,94206949936.0
2025-08-20 23:00:00,2579.13,2608.0,2579.13,2607.65,62550799,139344684110.0
2025-08-21 18:30:00,2614.91,2626.37,2582.05,2601.77,137557167,308417356496.0
2025-08-21 19:30:00,2601.57,2625.84,2599.67,2613.08,50245711,112291892896.0
2025-08-21 22:00:00,2613.34,2618.43,2600.9,2607.56,48185332,94669206064.0
2025-08-21 23:00:00,2607.43,2607.43,2583.26,2595.47,67859901,140996340132.0
2025-08-22 18:30:00,2587.53,2634.52,2587.53,2632.42,125922989,280100621216.0
2025-08-22 19:30:00,2633.41,2665.4,2632.5,2661.97,53206323,130553471024.0
2025-08-22 22:00:00,2664.24,2670.78,2655.64,2660.36,54791086,132947591792.0
2025-08-22 23:00:00,2661.2,2683.9,2661.2,2682.55,69506693,154138721140.0
2025-08-25 18:30:00,2720.28,2748.74,2700.28,2734.47,165717076,400927396704.0
2025-08-25 19:30:00,2734.61,2782.01,2729.08,2741.98,73021587,179154431888.0
2025-08-25 22:00:00,2742.58,2742.58,2706.62,2728.53,62244555,148528821408.0
2025-08-25 23:00:00,2728.42,2769.01,2724.85,2762.99,61618253,146364329318.0
2025-08-26 18:30:00,2747.11,2770.01,2726.72,2745.91,143803685,346518500720.0
2025-08-26 19:30:00,2745.91,2773.24,2736.56,2768.76,53289266,124402796064.0
2025-08-26 22:00:00,2769.39,2769.39,2751.1,2766.96,50569466,117026546400.0
2025-08-26 23:00:00,2766.69,2769.67,2735.93,2742.13,71119717,162120225373.0
2025-08-27 18:30:00,2747.5,2798.84,2745.07,2784.19,145595579,349601551920.0
2025-08-27 19:30:00,2784.38,2816.31,2784.16,2808.08,57049626,145045772512.0
2025-08-27 22:00:00,2809.5,2822.27,2771.34,2776.64,71933605,169677444720.0
2025-08-27 23:00:00,2777.56,2795.4,2723.2,2723.2,102699511,223740212176.0
2025-08-28 18:30:00,2707.34,2770.85,2707.34,2769.22,145186069,340993559168.0
2025-08-28 19:30:00,2768.99,2793.67,2742.93,2757.41,68818841,164481915536.0
2025-08-28 22:00:00,2758.49,2766.18,2723.0,2759.14,70591857,164946406704.0
2025-08-28 23:00:00,2759.4,2827.17,2759.4,2827.17,68949067,169345675551.0
2025-08-29 18:30:00,2828.01,2895.76,2809.32,2884.84,140630628,370559828224.0
2025-08-29 19:30:00,2884.85,2933.99,2876.83,2893.44,55377086,151107641968.0
2025-08-29 22:00:00,2894.54,2914.3,2867.64,2894.99,44497029,116905238592.0
2025-08-29 23:00:00,2895.08,2902.68,2876.47,2890.13,53226980,132495165188.0
2025-09-01 18:30:00,2914.64,2947.43,2886.73,2897.14,139730818,359403197472.0
2025-09-01 19:30:00,2898.22,2925.38,2889.74,2906.03,47314732,116703163648.0
2025-09-01 22:00:00,2906.23,2957.73,2906.23,2949.75,45093694,125651962336.0
2025-09-01 23:00:00,2950.72,2958.14,2939.05,2956.37,51723632,130966735525.0
2025-09-02 18:30:00,2951.03,2979.73,2922.52,2951.13,148651058,367252472496.0
2025-09-02 19:30:00,2951.62,2952.49,2868.69,2870.72,59758481,161910316592.0
2025-09-02 22:00:00,2866.38,2914.18,2839.92,2876.8,53867313,153599764608.0
2025-09-02 23:00:00,2876.51,2890.63,2844.58,2872.22,47079749,121081633484.0
2025-09-03 18:30:00,2882.84,2924.9,2869.71,2888.12,96740970,259363462448.0
2025-09-03 19:30:00,2887.05,2920.46,2862.68,2872.11,53825161,138793598720.0
2025-09-03 22:00:00,2870.25,2885.32,2859.51,2878.64,42721592,104624778160.0
2025-09-03 23:00:00,2878.53,2926.77,2874.36,2899.37,57628760,154789488127.0
2025-09-04 18:30:00,2933.68,2956.41,2820.15,2840.08,109577202,329182525264.0
2025-09-04 19:30:00,2838.86,2848.36,2787.98,2806.63,45858379,125718069040.0
2025-09-04 22:00:00,2805.93,2839.21,2793.67,2804.67,42635996,107326693376.0
2025-09-04 23:00:00,2804.46,2804.46,2741.07,2776.25,64926823,154089887871.0
2025-09-05 18:30:00,2789.91,2859.24,2775.17,2854.71,102286481,292285133168.0
2025-09-05 19:30:00,2853.67,2889.44,2846.22,2872.91,43592290,119193171232.0
2025-09-05 22:00:00,2876.27,2907.5,2864.2,2906.56,39513022,103088924896.0
2025-09-05 23:00:00,2906.74,2962.47,2906.74,2958.18,62325478,161517768744.0
